ind,pop,taxon
BST-21-43-05,BST-21-43-,5
BST-21-43-06,BST-21-43-,6
BST-21-43-07,BST-21-43-,7
BST-21-43-08,BST-21-43-,8
BST-21-43-09,BST-21-43-,9
BST-21-43-10,BST-21-43-,0
BST-21-43-11,BST-21-43-,1
BST-21-44-01,BST-21-44-,1
BST-21-44-03,BST-21-44-,3
BST-21-44-04,BST-21-44-,4
BST-21-44-05,BST-21-44-,5
BST-21-44-07,BST-21-44-,7
BST-21-44-08,BST-21-44-,8
BST-21-44-09,BST-21-44-,9
BST-21-44-10,BST-21-44-,0
BST-21-44-12,BST-21-44-,2
BST-21-44-18,BST-21-44-,8
BST-21-44-23,BST-21-44-,3
BST-21-44-24,BST-21-44-,4
BST-21-44-25,BST-21-44-,5
BST-21-44-26,BST-21-44-,6
BST-21-44-27,BST-21-44-,7
BST-21-44-28,BST-21-44-,8
BST-21-44-29,BST-21-44-,9
BST-21-44-30,BST-21-44-,0
BST-21-44-31,BST-21-44-,1
BST-21-44-32,BST-21-44-,2
BST-21-75-10,BST-21-75-,0
BTB-L-20-01,BTB-L-20-,1
BTB-L-20-02,BTB-L-20-,2
BTB-L-20-03,BTB-L-20-,3
BTB-L-20-04,BTB-L-20-,4
BTB-L-20-05,BTB-L-20-,5
BTB-L-20-06,BTB-L-20-,6
BTB-L-20-07,BTB-L-20-,7
BTB-L-20-08,BTB-L-20-,8
BTB-L-20-09,BTB-L-20-,9
BTB-L-20-10,BTB-L-20-,0
BTB-L-20-11,BTB-L-20-,1
BTB-L-20-12,BTB-L-20-,2
BTB-L-20-13,BTB-L-20-,3
BTB-L-20-14,BTB-L-20-,4
BTB-L-20-15,BTB-L-20-,5
BTB-L-20-16,BTB-L-20-,6
BTB-L-20-17,BTB-L-20-,7
BTS-20-01-01,BTS-20-01-,1
BTS-20-02-07,BTS-20-02-,7
BTS-20-02-08,BTS-20-02-,8
BTS-20-02-09,BTS-20-02-,9
BTS-20-02-10,BTS-20-02-,0
BTS-20-02-11,BTS-20-02-,1
FEN-L-20-01,FEN-L-20-,1
GVI-L-20-01,GVI-L-20-,1
HT-L-20-01,HT-L-20-,1
HT-L-20-02,HT-L-20-,2
HT-L-20-03,HT-L-20-,3
MR-20-07-06,MR-20-07-,6
MR-20-07-07,MR-20-07-,7
MR-20-07-10,MR-20-07-,0
MR-20-07-12,MR-20-07-,2
MR-20-07-19,MR-20-07-,9
MR-20-07-22,MR-20-07-,2
MR-20-07-23,MR-20-07-,3
MR-20-08-13,MR-20-08-,3
MR-20-10-01,MR-20-10-,1
MR-20-12-08,MR-20-12-,8
MR-20-12-09,MR-20-12-,9
MR-20-12-12,MR-20-12-,2
MR-20-14-13,MR-20-14-,3
MR-20-14-14,MR-20-14-,4
MR-20-14-19,MR-20-14-,9
MR-20-14-20,MR-20-14-,0
MR-20-14-22,MR-20-14-,2
MR-20-14-23,MR-20-14-,3
MR-20-14-24,MR-20-14-,4
MR-20-15-06,MR-20-15-,6
MR-20-15-10,MR-20-15-,0
MR-20-15-20,MR-20-15-,0
MR-20-15-39,MR-20-15-,9
MTU-L-20-01,MTU-L-20-,1
MTU-L-20-02,MTU-L-20-,2
SIN-L-20-01,SIN-L-20-,1
SIN-L-20-02,SIN-L-20-,2
SIN-L-20-03,SIN-L-20-,3
SIN-L-20-04,SIN-L-20-,4
SIN-L-20-05,SIN-L-20-,5
SIN-L-20-06,SIN-L-20-,6
SIN-L-20-07,SIN-L-20-,7
SIN-L-20-08,SIN-L-20-,8
,SIN-L-20-,8
SUV-L-20-01,SUV-L-20-,1
SUV-L-20-02,SUV-L-20-,2
SUV-L-20-03,SUV-L-20-,3
SUV-L-20-04,SUV-L-20-,4
SUV-L-20-05,SUV-L-20-,5
SUV-L-20-06,SUV-L-20-,6
SUV-L-20-07,SUV-L-20-,7
SUV-L-20-08,SUV-L-20-,8
SUV-L-20-09,SUV-L-20-,9
SUV-L-20-10,SUV-L-20-,0
SUV-L-20-11,SUV-L-20-,1
USL-L-20-01,USL-L-20-,1
USL-L-20-02,USL-L-20-,2
USL-L-20-03,USL-L-20-,3
USL-L-20-04,USL-L-20-,4
VE-L-20-01,VE-L-20-,1
VIC-20-02-13,VIC-20-02-,3
VIC-20-03-03,VIC-20-03-,3
VIC-20-03-06,VIC-20-03-,6
VIC-20-03-07,VIC-20-03-,7
VIC-20-03-08,VIC-20-03-,8
VIC-20-03-09,VIC-20-03-,9
VIC-20-03-10,VIC-20-03-,0
VIC-20-03-11,VIC-20-03-,1
VIC-20-04-02,VIC-20-04-,2
VIC-20-04-03,VIC-20-04-,3
VIC-20-04-04,VIC-20-04-,4
VIC-20-04-05,VIC-20-04-,5
VIC-20-04-06,VIC-20-04-,6
VIC-20-04-07,VIC-20-04-,7
VIC-20-04-10,VIC-20-04-,0
VIC-20-04-11a,VIC-20-04-1,a
VIC-20-04-11b,VIC-20-04-1,b
VIC-20-06-02,VIC-20-06-,2
VIC-20-06-03,VIC-20-06-,3
VIC-20-06-04,VIC-20-06-,4
VIC-20-09-04,VIC-20-09-,4
VIC-20-09-05,VIC-20-09-,5
VIC-20-09-07,VIC-20-09-,7
VIC-20-09-10a,VIC-20-09-1,a
VIC-20-09-10b,VIC-20-09-1,b
